osm_id,lon,lat,name
24961718,5.5539969,51.4590377,Nuenen
26315115,4.3218545,51.3654499,Zandvliet
26316407,4.3340417,51.3577516,Berendrecht
27240166,6.5733957,53.0297251,Assen-Noord
27240171,6.5258948,52.9903255,Assen-West
27350124,6.5586914,52.9695637,Knooppunt Assen
27459906,6.546754,52.9623674,Knooppunt Assen
29209831,6.5697725,53.0282851,Assen-Noord
41905314,5.7198095,50.7682505,Eijsden
41922248,5.7255713,50.794087,Oost-Maarland
41932907,5.723189,50.8114461,Gronsveld
41939069,5.7200695,50.8186493,Gronsveld
41954336,5.7182583,50.8336735,Maastricht-Zuid
41961766,6.0006016,50.8402559,Simpelveld
41968742,6.0120659,50.845678,Avantis
41971856,6.0099712,50.8478929,Kerkrade
41977067,6.0057421,50.8516466,Kerkrade
41981450,6.0032858,50.8541948,Kerkrade-West
41985196,6.0002616,50.8567799,Kerkrade-West
41989859,5.6956531,50.8600484,
41998195,5.9850606,50.8655725,Heerlen-Zuid
42003549,5.728544,50.8687721,Knooppunt Kruisdonk
42005856,5.9784704,50.8703403,Heerlen-Zuid
42012477,5.9576375,50.8736108,Knooppunt Kunderberg
42012783,5.7401084,50.8746772,Bunde
42013371,5.9491417,50.8746004,Voerendaal
42013611,5.8025106,50.8750736,Valkenburg
42013613,5.8216379,50.8753088,Valkenburg
42016998,5.9581035,50.8765083,Heerlen-Centrum
42017065,5.7712915,50.8767274,Meerssen
42018941,5.9742623,50.8777192,
42019829,5.9114307,50.8783414,Voerendaal
42022335,5.9066829,50.8798362,Klimmen
42025208,5.8549939,50.8817122,Hulsberg
42025927,5.8440134,50.8822629,Hulsberg
42026023,5.8621345,50.8820973,Klimmen
42026734,5.971627,50.8827449,Maastricht
42028774,5.97098,50.8840611,Heerlen-Centrum
42032309,5.9652105,50.8871425,Heerlen-Centrum
42036538,5.9612683,50.8899502,Woonboulevard
42041319,5.9548555,50.8937837,Parkstad 9200-9400
42041718,5.7452042,50.8944381,Meerssen
42044217,5.9336305,50.8961647,Heerlen-Noord
42044342,6.0430354,50.8963404,Landgraaf
42046887,6.0452175,50.8993855,Landgraaf
42047985,5.9386123,50.89978,Heerlen-Noord
42050166,5.9330997,50.9023631,Heerlen-Noord
42056059,5.9199139,50.9084671,Knooppunt Ten Esschen
42064621,5.8950462,50.917056,Nuth
42072070,5.8874104,50.925236,Nuth
42074992,5.7783266,50.9296133,Ulestraten
42081339,5.8718927,50.9386339,Schinnen
42084068,5.8521261,50.9423328,Spaubeek
42088397,5.8315574,50.9477036,Spaubeek
42089907,5.7886875,50.9493125,Elsloo
42092171,5.8188354,50.9527646,Geleen
42095643,5.7864117,50.9571476,Knooppunt Kerensheide
42096367,5.8076988,50.9579701,Geleen
42097983,5.7606052,50.9609274,Stein
42099629,5.7974665,50.9642254,Knooppunt Kerensheide
42101087,5.7755265,50.9662141,Knooppunt Kerensheide
42103817,5.7893008,50.9695019,Stein
42109229,5.7856968,50.9769747,Knooppunt Kerensheide
42113638,5.7830512,50.9863602,Urmond
42114147,5.8414266,50.9863229,Geleen
42117971,5.7861403,50.9936056,Urmond
